params	mean_test_F1_Macro	mean_test_Acc	rank_test_F1_Macro
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8239521624662443	0.8263264110706029	93
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8241036577157566	0.8265151496396103	92
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8232826012460318	0.825634186448038	96
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8378077022134776	0.8395117296876291	55
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8372980002505794	0.8390082782940743	57
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8350816391316359	0.836805422210823	65
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8480361084982349	0.8493612458587487	37
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8463069509615229	0.8476620342747815	41
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8444277310518341	0.8458054266671089	46
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8727829672068876	0.8733716012772706	8
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.867767993421191	0.8684939238539545	14
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8642354171181047	0.8650009630529322	17
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8346471433625805	0.8364908183177124	69
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8338537187602935	0.835704061013488	72
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.832619154231361	0.8344139067814276	81
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8445557152228836	0.8458682603005814	43
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.842558996884095	0.8439172685541184	51
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.841629717857387	0.8430046261200751	52
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8558621285330276	0.856819197086183	26
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8547619719740215	0.8557176972488374	28
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8526642885867215	0.853609413458677	34
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8810714630656058	0.881427417745624	2
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8764250044621337	0.8768645224668614	5
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8727187769395	0.8731827141653946	9
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8113202199080275	0.814588712029348	100
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8110744496898613	0.8143684279064518	102
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8110697393278382	0.8143054853415421	103
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8272965015858336	0.8298193669201963	82
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8270882710649756	0.8295676164662741	84
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8256567105814152	0.8281201157247976	88
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.835511856388577	0.8376551072256699	62
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8347681043213748	0.8369313271463579	67
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8336195625839917	0.835766973869824	76
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.859195821704265	0.8605954340893011	19
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8564463242761671	0.8578576800871847	24
{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8527934594847941	0.8543331935379891	32
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8231338079141224	0.825571164660265	98
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8236139418723815	0.8260116586346236	95
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8222846382780636	0.8246900529258241	99
